subject,year,grade,scale,url
arts,2016,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2016/scaling_irt_g8arts2016.aspx
arts,2008,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2008/scaling_irt_arts_2008g8.aspx
civics,2022,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_civics2022g8.aspx
civics,2018,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_civics2018g8.aspx
civics,2014,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_civics2014g8.aspx
civics,2010,4,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_civics_2010g4.aspx
civics,2010,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_civics_2010g8.aspx
civics,2010,12,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_civics_2010g12.aspx
civics,2006,4,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_civics_2006g4.aspx
civics,2006,8,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_civics_2006g8.aspx
civics,2006,12,,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_civics_2006g12.aspx
economics,2012,12,market,https://nces.ed.gov/nationsreportcard/tdw/analysis/2012/scaling_irt_econ_2012g12market.aspx
economics,2012,12,national,https://nces.ed.gov/nationsreportcard/tdw/analysis/2012/scaling_irt_econ_2012g12national.aspx
economics,2012,12,international,https://nces.ed.gov/nationsreportcard/tdw/analysis/2012/scaling_irt_econ_2012g12international.aspx
economics,2006,12,market,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_economics_2006g12market.aspx
economics,2006,12,national,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_economics_2006g12national.aspx
economics,2006,12,international,https://nces.ed.gov/nationsreportcard/tdw/analysis/2006/scaling_irt_economics_2006g12international.aspx
geography,2018,8,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_geog_2018g8space.aspx
geography,2018,8,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_geog_2018g8envso.aspx
geography,2018,8,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2018/scaling_irt_geog_2018g8spadyn.aspx
geography,2014,8,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_geog_2014g8space.aspx
geography,2014,8,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_geog_2014g8envso.aspx
geography,2014,8,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2014/scaling_irt_geog_2014g8spadyn.aspx
geography,2010,4,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g4space.aspx
geography,2010,4,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g4envso.aspx
geography,2010,4,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g4spadyn.aspx
geography,2010,8,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g8space.aspx
geography,2010,8,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g8envso.aspx
geography,2010,8,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g8spadyn.aspx
geography,2010,12,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g12space.aspx
geography,2010,12,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g12envso.aspx
geography,2010,12,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2010/scaling_irt_geog_2010g12spadyn.aspx
geography,2001,4,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g4_space_acc.aspx
geography,2001,4,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g4_environ_acc.aspx
geography,2001,4,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g4_spatial_acc.aspx
geography,2001,8,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g8_space_acc.aspx
geography,2001,8,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g8_environ_acc.aspx
geography,2001,8,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g8_spatial_acc.aspx
geography,2001,12,space,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g12_space_acc.aspx
geography,2001,12,envso,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g12_environ_acc.aspx
